task,source,r2,mae
mu,r2,0.247,0.941
mu,cv,0.252,0.922
mu,homo,0.219,0.987
alpha,zpve,0.805,2.614
alpha,r2,0.838,2.446
alpha,cv,0.833,2.515
homo,lumo,0.274,0.014
homo,mu,0.197,0.014
homo,cv,0.170,0.014
lumo,gap,0.286,0.032
lumo,zpve,0.230,0.033
lumo,homo,0.219,0.033
gap,lumo,0.257,0.033
gap,zpve,0.232,0.034
gap,alpha,0.181,0.034
r2,alpha,0.496,142.735
r2,u298,0.391,151.699
r2,g298,0.325,162.502
zpve,alpha,0.582,0.016
zpve,gap,0.533,0.017
zpve,lumo,0.513,0.018
u0,h298,0.988,2.531
u0,g298,0.982,2.879
u0,u298,0.987,2.807
u298,g298,0.983,2.835
u298,h298,0.989,2.464
u298,u0,0.993,2.450
h298,u0,0.993,2.418
h298,g298,0.983,2.842
h298,u298,0.987,2.724
